"Id","Trismegistos","EDR","PHI","EDCS"
"ISic002895","645288","","334231",""
"ISic002896","645289","","334402",""
"ISic002897","645290","","334635",""
"ISic002898","645291","","334641",""
"ISic002899","645292","","334645",""
"ISic002900","645293","","334591",""
"ISic002901","645294","","334655",""
"ISic002902","645295","","334693",""
"ISic002903","645296","","334726",""
"ISic002904","645297","","330705","64800559"
"ISic002905","645298","","330707","64900603"
"ISic002906","645299","","","57100044"
"ISic002907","645300","","",""
"ISic002908","491415","","","37601047"
"ISic002909","491416","","","37601048"
"ISic002910","645301","","",""
"ISic002911","175820","074096","","13600405"
"ISic002912","645302","","",""
"ISic002913","645303","","",""
"ISic002914","645304","","",""
"ISic002915","491413 491414","","","37601045"
"ISic002916","645305","","",""
"ISic002917","645306","","",""
"ISic002918","645307","","",""
"ISic002919","645308","","",""
"ISic002920","645309","","",""
"ISic002921","175841","073826","","13900573"
"ISic002922","175838","073823","","13900570"
"ISic002923","175839","073824","","13900571"
"ISic002924","175840","073825","","13900572"
"ISic002925","175837","073822","","13900569"
"ISic002926","645310","","",""
"ISic002927","645311","","",""
"ISic002928","645312","","",""
"ISic002929","645313","","",""
"ISic002930","645314","","",""
"ISic002931","645315","","",""
"ISic002932","645316","","331425",""
"ISic002933","493925","","","43400834"
"ISic002934","645317","","",""
"ISic002935","491381","","","3000419"
"ISic002936","644845","","","70900783 70900828"
"ISic002937","644846","","336064","70900811"
"ISic002938","644847","","332182","70900012"
"ISic002939","644848","","332181","70900013"
"ISic002940","644849","","332183 336183","64400341"
"ISic002941","644850","","332184","70900011"
"ISic002942","644851","","332185","70900016"
"ISic002943","644852","","332186",""
"ISic002944","644853","","",""
"ISic002945","644854","","","70900399"
"ISic002946","644855","","",""
"ISic002947","644856","","","59500341"
"ISic002948","644857","","","59500342"
"ISic002949","644858","","",""
"ISic002950","644859","","",""
"ISic002951","284830","108342","332345","55702040"
"ISic002952","284917","108677","331407","64400392"
"ISic002953","645318","","","70900971"
"ISic002954","645319","","336164",""
"ISic002955","284604","114491","",""
"ISic002956","645320","","331230 336172","70900985"
"ISic002957","492316","","","23400452"
"ISic002958","492317","","","23400453"
"ISic002959","492318","","","23400454"
"ISic002960","492319","139557","","23400457"
"ISic002961","492320","","","23400458"
"ISic002962","492321","","","23400459"
"ISic002963","492322","","","23400460"
"ISic002964","492323","","","23400463"
"ISic002965","645321","","175412","71000506"
"ISic002966","645322","","175459",""
"ISic002967","645323","","175462",""
"ISic002968","645324","","175464",""
"ISic002969","645325","","175466",""
"ISic002970","645326","","175467",""
"ISic002971","645327","","175468",""
"ISic002972","494016","","175473","39300425"
"ISic002973","645328","","175474",""
"ISic002974","494018","","175476","39300427"
"ISic002975","645329","","175492",""
"ISic002976","645330","","175478",""
"ISic002977","645331","","175480",""
"ISic002978","645332","","175481",""
"ISic002979","494017","","175482","39300431"
"ISic002980","645333","","175484",""
"ISic002981","645334","","175489",""
"ISic002982","645335","","175491",""
"ISic002983","645336","","175493",""
"ISic002984","175842","073827","","13900574"
"ISic002985","645337","","",""
"ISic002986","645338","","329611",""
"ISic002987","645339","","",""
"ISic002988","285060","108314","","59500344"
"ISic002989","175848","073194","","16100301"
"ISic002990","645340","146666","","70900397"
"ISic002991","645341","","",""
"ISic002992","645342","146667","","70900398"
"ISic002993","645343","","",""
"ISic002994","645344","","","70900784"
"ISic002995","645345","147843","","70900712"
"ISic002996","645346","","332324",""
"ISic002997","645347","","332332",""
"ISic002998","645348","","332328",""
"ISic002999","645349","","332331",""
"ISic003000","645350","","332335",""
"ISic003001","645351","","332333 332334",""
"ISic003002","645352","","140306",""
"ISic003003","493965","138379","","22200383"
"ISic003004","645353","","",""
"ISic003005","645354","","",""
"ISic003006","645355","","331398",""
"ISic003007","645356","","333354","70900724"
"ISic003008","645357","","331244",""
"ISic003009","285064","114431","331245","64400280"
"ISic003010","645358","","140295 331256",""
"ISic003011","645359","","329738 331243",""
"ISic003012","645360","","331249",""
"ISic003013","645361","","331248","71000788"
"ISic003014","645362","","331257","70901005"
"ISic003015","645363","136012","336046",""
"ISic003016","645364","","332325",""
"ISic003017","645365","","332326",""
"ISic003018","645366","","332327",""
"ISic003019","645376","","332329",""
"ISic003020","645377","","332330",""
"ISic003022","645378","","332343","70900799"
"ISic003023","645379","","332346 332347",""
"ISic003024","645380","","332348 336543 334104",""
"ISic003025","645381","","334103",""
"ISic003026","645382","","334105",""
"ISic003027","645383","","334311",""
"ISic003029","645385","","332349 334842",""
"ISic003030","645386","","334336",""
"ISic003031","645387","","334106",""
"ISic003032","645388","","334125",""
"ISic003033","284812","108006","332350","64600116"
"ISic003034","645389","","332353","71000521"
"ISic003035","645390","","332354","71000522"
"ISic003036","284831","","332365","64900409"
"ISic003037","645391","","332166",""
"ISic003038","645392","","334598",""
"ISic003039","645393","","334388",""
"ISic003040","645394","","334297",""
"ISic003041","645395","","334384",""
"ISic003042","645396","","334699",""
"ISic003043","645397","","334751",""
"ISic003044","645398","","334709",""
"ISic003045","645399","","334358",""
"ISic003046","645400","","334316",""
"ISic003047","645401","","334300",""
"ISic003048","645402","","334248",""
"ISic003049","645403","","334370",""
"ISic003050","645404","","334580",""
"ISic003051","645405","","334119 334120",""
"ISic003052","645406","","334172",""
"ISic003053","645407","","334128",""
"ISic003054","645408","","334161",""
"ISic003055","645409","","334141",""
"ISic003056","645410","","334160",""
"ISic003057","645411","","334702",""
"ISic003058","645412","","334687",""
"ISic003059","645413","","334783",""
"ISic003060","645414","","334692",""
"ISic003061","645415","","334731",""
"ISic003062","645416","","334838",""
"ISic003063","645417","","334460",""
"ISic003064","645418","","334633",""
"ISic003065","645419","","334303",""
"ISic003067","645420","136678","332226","64900502"
"ISic003068","645421","","332227 336195",""
"ISic003069","645422","","","64400328"
"ISic003070","284813","","331223","59700188"
"ISic003071","645423","","331994",""
"ISic003072","645424","","331995",""
"ISic003073","645425","","",""
"ISic003074","645426","","331996",""
"ISic003075","645427","","331997",""
"ISic003076","645429","","331998",""
"ISic003077","653656","","329770 337258",""
"ISic003078","645430","136074","331797","64900839"
"ISic003079","645431","","331802","64400373"
"ISic003080","645432","","331820",""
"ISic003081","645433","","331832",""
"ISic003082","645434","","331833",""
"ISic003083","284926","","331392","64900559"
"ISic003084","645435","","",""
"ISic003085","645436","","331397",""
"ISic003086","645437","","331401",""
"ISic003087","645438","","316251 331402",""
"ISic003089","284882","","331405","64900517"
"ISic003090","284916","","331406","64900518"
"ISic003091","284943","","331411","64901133"
"ISic003092","645440","","331418",""
"ISic003093","645441","","331419",""
"ISic003094","645442","","",""
"ISic003095","645443","","",""
"ISic003096","645444","","331421",""
"ISic003097","645445","","331422",""
"ISic003098","645446","","331423",""
"ISic003099","645447","","331424",""
"ISic003100","645448","","331426",""
"ISic003101","645449","","331427",""
"ISic003102","645450","","331429",""
"ISic003104","645452","","331430",""
"ISic003105","645453","","",""
"ISic003107","284789","","329607 329608 333758","65200113"
"ISic003108","284792","105600","","65200114"
"ISic003109","645454","","316192 336511",""
"ISic003110","645455","","316195",""
"ISic003111","645456","","316196",""
"ISic003112","645457","","316197",""
"ISic003114","284790","","331222","64900329"
"ISic003115","284801","105958","330070","64800020"
"ISic003116","284814","105541","330071","64800017"
"ISic003117","645458","","329577",""
"ISic003118","645459","","334109",""
"ISic003119","645460","","334131",""
"ISic003120","645461","","334170",""
"ISic003122","645463","","334490",""
"ISic003123","645384","","334480",""
"ISic003124","645465","","330715",""
"ISic003125","645466","","330714",""
"ISic003126","645467","","329928 333751",""
"ISic003127","645468","","333766",""
"ISic003128","645469","","333767",""
"ISic003129","645470","","333556",""
"ISic003130","645471","136231","330185","64800549"
"ISic003131","645472","","330186",""
